,display_size,disk_space,discount_price,old_price,ratings_5max,graphics_card_score,processor_score,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Huawei,brand_Lenovo,brand_MSI,brand_Microsoft,disk_type_Flash,disk_type_HDD,disk_type_SSD,disk_type_eMMC
0,14.0,64.0,1259.0,1259.0,0.0,153,1436,0,0,0,0,1,0,0,0,0,0,0,0,1
1,14.0,1024.0,1849.0,2099.0,3.3,1050,5977,0,0,0,0,0,0,1,0,0,0,1,0,0
2,14.0,256.0,2999.0,3799.0,0.0,2359,5977,0,0,0,0,0,1,0,0,0,0,0,1,0
3,15.6,1024.0,1849.0,1849.0,0.0,921,2591,0,0,0,1,0,0,0,0,0,0,1,0,0
4,15.6,1024.0,2499.0,3149.0,0.0,1336,5955,0,0,1,0,0,0,0,0,0,0,1,0,0
5,14.0,128.0,3799.0,3799.0,3.8,932,5955,0,0,0,1,0,0,0,0,0,0,1,0,0
6,13.3,128.0,4649.0,5199.0,4.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
7,15.6,128.0,2449.0,2799.0,4.4,2359,5977,0,0,0,0,0,1,0,0,0,0,1,0,0
8,13.88,256.0,4999.0,5999.0,0.0,2359,5977,0,0,0,0,0,1,0,0,0,0,0,1,0
9,14.0,16.0,2629.0,2629.0,0.0,932,5977,0,0,0,0,1,0,0,0,0,0,1,0,0
10,15.6,1024.0,1999.0,1999.0,0.0,389,1546,0,0,0,0,1,0,0,0,0,0,1,0,0
11,14.0,512.0,4499.0,5999.0,0.0,96,6388,1,0,0,0,0,0,0,0,0,0,0,1,0
12,13.3,128.0,3399.0,4499.0,0.0,843,6496,0,1,0,0,0,0,0,0,0,1,0,0,0
13,14.0,512.0,4899.0,5999.0,0.0,1050,5955,1,0,0,0,0,0,0,0,0,0,0,1,0
14,15.4,256.0,9099.0,10199.0,0.0,3141,6515,0,1,0,0,0,0,0,0,0,0,0,1,0
15,14.0,512.0,3399.0,4399.0,0.0,2359,5955,1,0,0,0,0,0,0,0,0,0,0,1,0
16,13.3,512.0,7599.0,8499.0,4.4,1796,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
17,13.3,256.0,6969.0,7769.0,4.3,1796,3819,0,1,0,0,0,0,0,0,0,0,0,1,0
18,13.0,512.0,4999.0,4999.0,4.1,2359,6388,0,0,0,0,0,1,0,0,0,0,0,1,0
19,13.3,256.0,5399.0,6099.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
20,13.3,256.0,4699.0,5399.0,4.4,1050,6131,0,0,0,1,0,0,0,0,0,0,0,1,0
21,13.3,256.0,3299.0,3999.0,0.0,1050,6388,0,0,0,0,1,0,0,0,0,0,0,1,0
22,13.3,256.0,5449.0,6099.0,4.0,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
23,13.3,256.0,5449.0,6099.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
24,14.0,256.0,3599.0,4199.0,0.0,2359,5955,0,0,0,0,1,0,0,0,0,0,1,0,0
25,13.3,128.0,4599.0,5199.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
26,14.0,256.0,3599.0,4199.0,5.0,2359,5955,0,0,0,0,1,0,0,0,0,0,1,0,0
27,13.3,128.0,4599.0,5199.0,3.9,869,6496,0,1,0,0,0,0,0,0,0,0,0,1,0
28,14.0,256.0,3599.0,4199.0,0.0,2359,5955,0,0,0,0,0,1,0,0,0,0,0,1,0
29,14.0,512.0,4299.0,4899.0,0.0,2359,6388,0,0,1,0,0,0,0,0,0,0,0,1,0
30,14.0,128.0,2599.0,3199.0,0.0,2359,6131,0,0,1,0,0,0,0,0,0,0,1,0,0
31,13.88,512.0,6399.0,6999.0,0.0,2359,5955,0,0,0,0,0,1,0,0,0,0,0,1,0
32,14.0,128.0,3249.0,3799.0,0.0,2559,6388,0,0,0,0,1,0,0,0,0,0,1,0,0
33,15.6,1024.0,2499.0,2999.0,0.0,1487,5955,0,0,1,0,0,0,0,0,0,0,1,0,0
34,14.0,256.0,3799.0,4299.0,0.0,2559,6388,0,0,0,0,1,0,0,0,0,0,1,0,0
35,14.0,256.0,3799.0,4299.0,0.0,2559,6388,0,0,0,0,1,0,0,0,0,0,1,0,0
36,14.0,256.0,1999.0,2499.0,0.0,1050,5977,0,0,0,0,0,0,1,0,0,1,0,0,0
37,15.6,128.0,3499.0,3999.0,0.0,2359,6388,0,0,1,0,0,0,0,0,0,0,1,0,0
38,15.6,128.0,2399.0,2899.0,0.0,1487,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
39,14.0,1024.0,2299.0,2799.0,0.0,1487,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
40,15.6,1024.0,1999.0,2449.0,3.6,1487,5977,0,0,1,0,0,0,0,0,0,0,1,0,0
41,14.0,128.0,2649.0,3099.0,0.0,1932,6131,0,0,1,0,0,0,0,0,0,0,1,0,0
42,12.0,256.0,5269.0,5669.0,5.0,735,1502,0,1,0,0,0,0,0,0,0,0,0,1,0
43,15.6,128.0,2899.0,3299.0,4.0,2359,5955,0,0,0,0,0,1,0,0,0,0,1,0,0
44,15.6,128.0,2899.0,3299.0,4.4,2359,5955,0,0,0,0,0,1,0,0,0,0,1,0,0
45,13.0,512.0,3599.0,3999.0,4.1,1050,6388,0,0,0,0,0,1,0,0,0,0,0,1,0
46,13.3,512.0,3599.0,3999.0,0.0,2359,6388,0,0,0,0,0,0,1,0,0,0,0,1,0
47,13.3,512.0,5999.0,6399.0,4.4,1050,6388,0,0,0,1,0,0,0,0,0,0,0,1,0
48,15.6,1024.0,2749.0,3149.0,0.0,1931,6388,0,0,0,0,1,0,0,0,0,0,1,0,0
49,15.6,1024.0,2749.0,3149.0,0.0,1931,6388,0,0,0,0,1,0,0,0,0,0,1,0,0
50,15.6,128.0,6099.0,6499.0,0.0,6342,10185,0,0,0,1,0,0,0,0,0,0,1,0,0
51,15.6,128.0,2899.0,3299.0,0.0,1931,5955,0,0,1,0,0,0,0,0,0,0,1,0,0
52,15.6,1024.0,2299.0,2699.0,0.0,856,6131,0,0,0,1,0,0,0,0,0,0,1,0,0
53,15.6,1024.0,2799.0,3199.0,0.0,1931,6388,1,0,0,0,0,0,0,0,0,0,1,0,0
54,15.6,1024.0,2799.0,3149.0,0.0,856,6388,0,0,0,1,0,0,0,0,0,0,1,0,0
